"","R2Trein","R2Val","REQMTrein","REQMVal","nfold","method","variable"
"69",0.808291284771574,0.719767666001175,0.220989665713506,0.263562189256816,"Mean","MLP",18
"70",0.0192697145602914,0.0476243731679933,0.0337759263651592,0.0766620597835071,"SD","MLP",18
"71",0.585905464535151,0.0813892688984977,1.12984073233027,1.73678824116097,"KFold1","MLP",2
"72",0.821966986232456,0.0490227587346275,0.730576134358746,1.97204655303631,"KFold2","MLP",2
"73",0.584356380798383,0.14657233033179,1.10363990368118,1.63229910087401,"KFold3","MLP",2
"74",0.599638161788015,0.0832828530974424,1.12018562021998,1.64106371008634,"KFold4","MLP",2
"75",0.567920280958957,0.0608012133376132,1.11728946193881,1.87512284138923,"KFold5","MLP",2
"76",0.631957454862592,0.0842136848799942,1.0403063705058,1.77146408930937,"Mean","MLP",2
"77",0.106812413163201,0.0376961189737027,0.173397987630326,0.148788464766306,"SD","MLP",2
"78",0.575151421691562,0.186590824831404,0.645187180527961,0.973123999963607,"KFold1","MLP",3
"79",0.540779575916768,0.324759207042044,0.648802679805033,0.904728939858262,"KFold2","MLP",3
"80",0.576059156412759,0.227154924998952,0.653216580248695,0.87309736177906,"KFold3","MLP",3
"81",0.568029557525051,0.371576593622131,0.66531036448807,0.754106198022793,"KFold4","MLP",3
"82",0.6536644061539,0.278455752050097,0.584787729795014,0.862677043715876,"KFold5","MLP",3
"83",0.582736823540008,0.277707460508926,0.639460906972954,0.87354670866792,"Mean","MLP",3
"84",0.0421591207115016,0.0739656019497399,0.0314905868169288,0.0794864070073603,"SD","MLP",3
"85",0.847313223275352,0.041991942853872,0.440550005353622,1.18838705834644,"KFold1","MLP",4
"86",0.739303194079148,0.0917226211407533,0.540739138882591,1.28145593552345,"KFold2","MLP",4
"87",0.761127186856512,0.0486023880966747,0.601630459147446,1.57762007664529,"KFold3","MLP",4
"88",0.638850842281821,0.0533148681183842,0.662250867264483,1.06825356918319,"KFold4","MLP",4
"89",0.588196788917876,0.113801664831173,0.678174689166417,1.21081682908556,"KFold5","MLP",4
"90",0.714958247082142,0.0698866970081715,0.584669031962912,1.26530669375678,"Mean","MLP",4
"91",0.102594945670648,0.0312693804285453,0.0971468842099599,0.190732900091115,"SD","MLP",4
"92",0.463934497503924,0.29029755544574,0.653691168135471,0.681459826447153,"KFold1","MLP",5
"93",0.43765122311613,0.307506013115007,0.638340586331477,0.792147102836548,"KFold2","MLP",5
"94",0.60177367478531,0.172143823893662,0.526282162793256,0.951813291200525,"KFold3","MLP",5
"95",0.492330390727681,0.254759967316489,0.648102534636266,0.673635263952136,"KFold4","MLP",5
"96",0.475639476914077,0.284729798685347,0.661964013561731,0.668395346762178,"KFold5","MLP",5
"97",0.494265852609424,0.261887431691249,0.62567609309164,0.753490166239708,"Mean","MLP",5
"98",0.0633123745575083,0.0536532378372804,0.0562230950128405,0.122099062458704,"SD","MLP",5
"99",0.641592068705376,0.0911462371929037,0.459345018465324,0.790758789486871,"KFold1","MLP",6
"100",0.683261419620974,0.114470319227296,0.431200210191325,0.77560828306359,"KFold2","MLP",6
"101",0.732638636967642,0.114464983464666,0.397965739823879,0.824655155909825,"KFold3","MLP",6
"102",0.800681094234226,0.136649363182015,0.338363575672727,0.808819490200626,"KFold4","MLP",6
"103",0.65069773228977,0.164119003273206,0.450051754701129,0.730440483706272,"KFold5","MLP",6
"104",0.701774190363598,0.124169981268017,0.415385259770876,0.786056440473437,"Mean","MLP",6
"105",0.0657810852651981,0.0275249769797011,0.049041101151288,0.0361677618634813,"SD","MLP",6
"106",0.465545933051887,0.17109971630202,2.02245780288263,2.58090449889647,"KFold1","MLP",7
"107",0.609342935711513,0.0881325684151441,1.68209076132146,3.14497253608012,"KFold2","MLP",7
"108",0.452608023047073,0.138592275441554,2.08185974623097,2.63180389472033,"KFold3","MLP",7
"109",0.580348530089229,0.202121012536291,1.85546353847798,2.63607820728165,"KFold4","MLP",7
"110",0.458968455988807,0.242017142372021,2.02424669376749,2.36111126275864,"KFold5","MLP",7
"111",0.513362775577702,0.168392543013406,1.93322370853611,2.67097407994744,"Mean","MLP",7
"112",0.0752256851655838,0.0589390353334591,0.163901632359235,0.28790365431116,"SD","MLP",7
"113",0.538879612250449,0.246318685531976,0.833509493645352,1.14221734362596,"KFold1","MLP",8
"114",0.657108976508032,0.362899712854631,0.743859780800074,0.983806217225368,"KFold2","MLP",8
"115",0.556683693866377,0.179737959741989,0.86050460058869,1.29460723329682,"KFold3","MLP",8
"116",0.536772329375443,0.266588779787071,0.843543921143355,1.06378398979892,"KFold4","MLP",8
"117",0.695113320022765,0.240816420336299,0.68636272993631,1.08161650297177,"KFold5","MLP",8
"118",0.596911586404613,0.259272311650393,0.793556105222756,1.11320625738377,"Mean","MLP",8
"119",0.0739425957401952,0.066382035359053,0.0750621415647499,0.116117182941625,"SD","MLP",8
"120",0.518420640661361,0.276223179641933,0.707488678307297,0.896537468494342,"KFold1","MLP",9
"121",0.661038401625154,0.293773815895048,0.597859557135658,0.864632914664495,"KFold2","MLP",9
"122",0.538735472228393,0.254490633669066,0.694306900994501,0.897019197623492,"KFold3","MLP",9
"123",0.551783355100315,0.190289499337385,0.683297237613506,1.03455467324561,"KFold4","MLP",9
"124",0.521746902239881,0.39493876722143,0.724951986557567,0.701717430068873,"KFold5","MLP",9
"125",0.558344954371021,0.281943179152973,0.681580872121706,0.878892336819362,"Mean","MLP",9
"126",0.0589637573616409,0.0743214715952767,0.0493113179024968,0.118811800169799,"SD","MLP",9
