"ngenes","herd","method","R2.mean","REQM.mean","R2.sd","REQM.sd","family"
"120","30 %","RBF",19.9333762043639,92.1917085425,5.23388660269659,13.1828195854607,"NETWORK"
"120","30 %","RF",15.8109140053626,97.7004273721999,4.31895015675629,12.9380116684757,"TREE"
"120","50 %","BA",40.6499604476799,62.0527404112412,6.34273905585537,3.45883105447233,"TREE"
"120","50 %","BO",38.2068747990937,61.8856839699307,4.0649211976755,3.55923827042649,"TREE"
"120","50 %","DT",6.32265314321311,79.8980712873774,2.42004171284223,4.32043281760489,"TREE"
"120","50 %","G-BLUP",44.0444114356111,55.5702221468389,5.37074484130147,3.78909799540951,"G-BLUP"
"120","50 %","MARS 1",22.418999700189,75.5299449565189,5.34369045943899,2.45472973821143,"MARS"
"120","50 %","MARS 2",26.4179434939151,75.5299449565189,4.45531091332889,2.45472973821143,"MARS"
"120","50 %","MARS 3",25.5983454518522,75.5299449565189,4.68651223876818,2.45472973821143,"MARS"
"120","50 %","MLP",41.2628834573351,59.0826145722722,5.4502009688857,3.2550654081741,"NETWORK"
"120","50 %","RBF",44.5395427071716,55.8094678534522,5.2844823717635,4.06582185571342,"NETWORK"
"120","50 %","RF",40.5581979492135,62.0694512812821,6.73415298548707,3.62461904882131,"TREE"
"120","80 %","BA",58.9905441274383,47.9811565912633,3.69280375897324,2.11716025714605,"TREE"
"120","80 %","BO",60.365957551995,42.2056801444405,4.19843066728015,2.75167421425393,"TREE"
"120","80 %","DT",15.4308829575034,64.4255354319203,5.44912440675671,2.65106218263059,"TREE"
"120","80 %","G-BLUP",62.3098027997924,40.5130130608618,3.55480172766575,2.53985150588945,"G-BLUP"
"120","80 %","MARS 1",35.0252670825951,60.9487786274997,3.84949716566329,2.72956418477773,"MARS"
"120","80 %","MARS 2",48.1458243438447,61.0015273586698,4.75218276468641,2.65422536972485,"MARS"
"120","80 %","MARS 3",48.6260022732017,61.0015273586698,3.54430339503864,2.65422536972485,"MARS"
"120","80 %","MLP",60.4998914082085,44.2999793751511,3.30151087669357,4.45429729879442,"NETWORK"
"120","80 %","RBF",61.2749466556785,41.9774601670111,3.48946051282327,2.675313099184,"NETWORK"
"120","80 %","RF",59.2934646494568,47.8365388529802,3.84849977169987,2.23568472407406,"TREE"
"240","30 %","BA",23.5557927908408,66.2437078478891,10.1541482204448,28.5081608880647,"TREE"
"240","30 %","BO",19.285806329066,68.7055962648099,8.28660557101486,29.7635060756871,"TREE"
"240","30 %","DT",4.80408231870312,78.6292072949427,3.79801256774648,33.9521913225179,"TREE"
"240","30 %","G-BLUP",26.1891980876076,61.9657223433493,11.2598095150642,26.6553470650606,"G-BLUP"
"240","30 %","MARS 1",13.7969063028689,88.0798557180066,1.97090221919865,13.5448985211075,"MARS"
"240","30 %","MARS 2",12.7742154720093,88.0711590413698,2.1173070780881,13.5219198441252,"MARS"
"240","30 %","MARS 3",13.2708066962784,88.0711590413698,2.39050466501664,13.5219198441252,"MARS"
"240","30 %","MLP",26.1887431691249,75.3490166239708,5.36532378372806,12.2099062458704,"NETWORK"
"240","30 %","RBF",31.3813252488975,71.4119571467861,7.2041470541185,13.8932324217338,"NETWORK"
"240","30 %","RF",23.5005063514716,66.2491280861438,10.1139701205919,28.5073253852492,"TREE"
"240","50 %","BA",39.6420835091838,45.2040891392358,17.2902769336974,19.7845678342788,"TREE"
"240","50 %","BO",37.4438697509885,44.4486114373751,16.5074970578876,19.538161201473,"TREE"
"240","50 %","DT",8.19267609177562,56.5749653995755,3.57433683390244,25.2923703816224,"TREE"
"240","50 %","G-BLUP",42.09534059237,38.0197769703318,18.7268839468179,17.1966362228688,"G-BLUP"
"240","50 %","MARS 1",25.0308175554462,64.1526853642596,4.75448194891146,4.84106129284968,"MARS"
"240","50 %","MARS 2",30.093202480772,64.1526853642596,5.05041429302931,4.84106129284968,"MARS"
"240","50 %","MARS 3",29.3485877619992,64.1526853642596,5.54720395590853,4.84106129284968,"MARS"
"240","50 %","MLP",45.1678087445342,48.4967130196983,3.60013290981206,1.33009459957045,"NETWORK"
"240","50 %","RBF",51.5837500347877,44.0049294364023,7.05826120815501,4.42841899291822,"NETWORK"
"240","50 %","RF",40.5518789012037,45.1830951990288,17.6181880554256,19.7653145995989,"TREE"
"240","80 %","BA",53.6920075964601,32.4515848695861,24.3273173406727,14.5912179148468,"TREE"
"240","80 %","BO",56.8287797080754,27.069612084882,25.2361564314097,11.8384869711716,"TREE"
"240","80 %","DT",11.1629932298615,45.4956894698457,5.58222643146512,21.4436095993922,"TREE"
"240","80 %","G-BLUP",57.3757299965007,25.6275549720329,25.5033671352047,11.3881052442267,"G-BLUP"
"240","80 %","MARS 1",33.3059515243296,49.7938399968583,5.34950041493935,3.85205874321912,"MARS"
"240","80 %","MARS 2",53.7382591866683,49.8357049950687,5.83046452527141,3.82738303671499,"MARS"
"240","80 %","MARS 3",54.0512960319556,49.8357049950687,6.58105686573921,3.82738303671499,"MARS"
"240","80 %","MLP",64.5124786524388,35.3021113676992,7.90179037133671,8.04805348694654,"NETWORK"
